"","UF","ESTRATO_POF","TIPO_SITUACAO_REG","COD_UPA","NUM_DOM","NUM_UC","QUADRO","SEQ","V9001","V9002","V8000","V9010","V9011","V1904","V1905","DEFLATOR","V8000_DEFLA","V1904_DEFLA","COD_IMPUT_VALOR","FATOR_ANUALIZACAO","PESO","PESO_FINAL","RENDA_TOTAL","V9004"
"9016",33,3324,1,330203846,6,1,12,6,1200701,7,15.5,NA,NA,NA,NA,1.0131294964,15.7,NA,0,1,530.30239688,624.3133401,3345.87,NA
"9017",33,3324,1,330203846,7,1,10,5,1000601,7,134,4,12,NA,NA,0.9938249824,133.17,NA,0,1,530.30239688,624.3133401,5166.09,NA
"9018",33,3322,1,330154052,3,1,13,7,1300202,7,9999999.99,NA,NA,NA,NA,0.9978146057,59.71,NA,1,1,2238.89687273,2635.80401104,2425.74,NA
"9019",33,3322,1,330154052,5,1,19,0,1900101,7,954,1,12,76.32,1,1,954,76.32,0,1,2238.89687273,2635.80401104,8279.17,NA
"9020",33,3322,1,330044926,8,1,6,1,600201,7,135.5,NA,NA,NA,NA,1.0525751957,142.62,NA,0,12,1019.23766076,1199.926065,1240.49,NA
"9021",33,3313,1,330130006,8,1,6,5,600601,7,100,NA,NA,NA,NA,1,100,NA,0,12,1172.41025641,1385.27944976,525.42,NA
"9022",33,3313,1,330130006,12,1,6,1,600201,11,9999999.99,NA,NA,NA,NA,1,91.07,NA,1,12,1172.41025641,1385.27944976,1257.25,NA
"9023",33,3313,1,330208798,1,1,6,1,600201,11,9999999.99,NA,NA,NA,NA,1,40,NA,1,12,2267.80851673,2679.56418587,2778.44,NA
"9024",33,3313,1,330208798,10,1,13,7,1300203,11,9999999.99,NA,NA,NA,NA,0.9895250135,399.13,NA,1,1,2267.80851673,2679.56418587,4755.78,NA
"9025",33,3313,1,330208798,11,1,6,1,600201,11,9999999.99,NA,NA,NA,NA,1,157.89,NA,1,12,2267.80851673,2679.56418587,2681.75,NA
"9026",33,3313,1,330208798,11,1,10,5,1000601,11,9999999.99,5,6,NA,NA,0.9966383581,123.88,NA,1,1,2267.80851673,2679.56418587,2681.75,NA
"9027",33,3313,1,330208798,13,1,6,0,600101,11,9999999.99,NA,NA,NA,NA,0.8339221519,72.11,NA,1,12,2267.80851673,2679.56418587,2409.66,NA
"9028",33,3313,1,330208798,13,1,6,1,600201,11,9999999.99,NA,NA,NA,NA,1,40,NA,1,12,2267.80851673,2679.56418587,2409.66,NA
"9029",33,3313,1,330208798,13,1,10,5,1000601,11,9999999.99,6,6,NA,NA,0.99303658,154.85,NA,1,1,2267.80851673,2679.56418587,2409.66,NA
"9030",33,3337,2,330000192,9,1,6,0,600101,7,70,NA,NA,NA,NA,1.0049292698,70.35,NA,0,12,735.17144097,865.50115663,1281.49,NA
"9031",33,3337,2,330000192,12,1,6,0,600101,7,60,NA,NA,NA,NA,1.0010168212,60.06,NA,0,12,735.17144097,865.50115663,1731.56,NA
"9032",33,3320,1,330083206,8,1,6,4,600501,7,9999999.99,NA,NA,NA,NA,1.0112050324,112,NA,1,12,734.31627907,864.49439334,4536.26,NA
"9033",33,3320,1,330083206,8,1,6,5,600601,7,9999999.99,NA,NA,NA,NA,1,49.9,NA,1,12,734.31627907,864.49439334,4536.26,NA
"9034",33,3320,1,330083206,12,1,12,6,1200701,7,9999999.99,NA,NA,NA,NA,1.0152293413,8.75,NA,1,1,734.31627907,864.49439334,1625.66,NA
"9035",33,3334,2,330009020,15,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,0.9972697488,56.43,NA,1,1,1089.55841067,1282.71313614,1412.54,NA
"9036",33,3334,2,330009020,8,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0138786084,49.83,NA,1,1,1089.55841067,1282.71313614,1329.32,NA
"9037",33,3334,2,330208135,7,1,6,0,600101,11,9999999.99,NA,NA,NA,NA,0.9860435866,123.52,NA,1,12,381.10125858,448.66212384,1080.45,NA
"9038",33,3334,2,330208135,10,1,6,0,600101,11,9999999.99,NA,NA,NA,NA,0.9420363637,124.18,NA,1,12,381.10125858,448.66212384,1674.42,NA
"9039",33,3334,2,330208135,20,1,6,0,600101,7,9999999.99,NA,NA,NA,NA,0.8364257167,151.73,NA,1,12,381.10125858,448.66212384,1723.16,NA
"9040",33,3334,2,330208135,20,1,10,5,1000601,7,9999999.99,6,6,NA,NA,0.99303658,302.28,NA,1,1,381.10125858,448.66212384,1723.16,NA
"9041",33,3334,2,330208135,20,1,12,6,1200701,7,9999999.99,NA,NA,NA,NA,1.0076021823,5.04,NA,1,1,381.10125858,448.66212384,1723.16,NA
"9042",33,3319,1,330029952,4,1,6,0,600101,7,100,NA,NA,NA,NA,0.9760323527,97.6,NA,0,12,1993.49364782,2346.89619557,2580.07,NA
"9043",33,3319,1,330029952,4,1,6,1,600201,7,42,NA,NA,NA,NA,1.0854915725,45.59,NA,0,12,1993.49364782,2346.89619557,2580.07,NA
"9044",33,3319,1,330029952,4,1,12,6,1200701,7,10,NA,NA,NA,NA,1.0430515693,10.43,NA,0,1,1993.49364782,2346.89619557,2580.07,NA
"9045",33,3301,1,330137091,2,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,0.9936525209,117.43,NA,1,1,1484.83577244,1654.40091362,15044.81,NA
"9046",33,3301,1,330137091,2,1,13,2,1300301,7,9999999.99,NA,NA,NA,NA,0.9936525209,558.78,NA,1,1,1484.83577244,1654.40091362,15044.81,NA
"9047",33,3301,1,330137091,5,1,19,0,1900101,7,9999999.99,3,12,NA,3,0.996995744,303.58,NA,1,1,1484.83577244,1654.40091362,3041.18,NA
"9048",33,3301,1,330137091,5,1,19,11,1901201,7,9999999.99,3,2,NA,3,0.996995744,797.6,NA,1,1,1484.83577244,1654.40091362,3041.18,NA
"9049",33,3301,1,330265570,13,1,6,14,601501,7,9999999.99,NA,NA,NA,NA,0.9990972578,231.36,NA,1,12,2323.22539683,2588.53288046,8261.29,NA
"9050",33,3301,1,330265570,13,1,10,0,1000101,7,2000,5,12,NA,NA,1.0078546418,2015.71,NA,0,1,2323.22539683,2588.53288046,8261.29,NA
"9051",33,3301,1,330265570,13,1,19,0,1900101,7,560,5,12,NA,1,0.991205509,555.08,NA,0,1,2323.22539683,2588.53288046,8261.29,NA
"9052",33,3301,1,330197362,5,1,10,4,1000501,7,890,6,12,NA,NA,1.0393074817,924.98,NA,0,1,1717.00364514,1913.08187203,18098.02,NA
"9053",33,3301,1,330197362,5,1,10,5,1000601,7,9999999.99,6,6,NA,NA,1.0152293413,111.26,NA,1,1,1717.00364514,1913.08187203,18098.02,NA
"9054",33,3301,1,330061049,6,1,6,0,600101,7,128,NA,NA,NA,NA,0.8949558874,114.55,NA,0,12,1100.3988604,1226.06210988,2595.56,NA
"9055",33,3301,1,330061049,6,1,6,2,600301,7,36,NA,NA,NA,NA,0.9638326592,34.7,NA,0,12,1100.3988604,1226.06210988,2595.56,NA
"9056",33,3301,1,330061049,6,1,6,14,601501,7,170,NA,NA,NA,NA,0.9993849705,169.9,NA,0,12,1100.3988604,1226.06210988,2595.56,NA
"9057",33,3301,1,330061049,6,1,10,0,1000101,7,1200,5,12,NA,NA,1.0078546418,1209.43,NA,0,1,1100.3988604,1226.06210988,2595.56,NA
"9058",33,3301,1,330061049,6,1,10,4,1000501,7,548,5,12,NA,NA,0.9757837121,534.73,NA,0,1,1100.3988604,1226.06210988,2595.56,NA
"9059",33,3301,1,330061049,6,1,10,5,1000601,7,225,1,1,NA,NA,1,225,NA,0,1,1100.3988604,1226.06210988,2595.56,NA
"9060",33,3301,1,330061049,6,1,12,11,1201501,7,35,NA,NA,NA,NA,1.0131294964,35.46,NA,0,1,1100.3988604,1226.06210988,2595.56,NA
"9061",33,3301,1,330061049,6,1,13,1,1300201,7,3400,NA,NA,NA,NA,0.9965441979,3388.25,NA,0,1,1100.3988604,1226.06210988,2595.56,NA
"9062",33,3301,1,330061049,6,1,13,2,1300301,7,300,NA,NA,NA,NA,0.9965441979,298.96,NA,0,1,1100.3988604,1226.06210988,2595.56,NA
"9063",33,3301,1,330061049,11,1,6,0,600101,7,9999999.99,NA,NA,NA,NA,0.849946167,134.47,NA,1,12,1100.3988604,1226.06210988,2892.32,NA
"9064",33,3301,1,330061049,11,1,6,1,600201,7,9999999.99,NA,NA,NA,NA,1,40,NA,1,12,1100.3988604,1226.06210988,2892.32,NA
"9065",33,3301,1,330061049,11,1,6,2,600301,7,9999999.99,NA,NA,NA,NA,0.9624620321,78.65,NA,1,12,1100.3988604,1226.06210988,2892.32,NA
"9066",33,3301,1,330061049,11,1,10,5,1000601,7,9999999.99,1,1,NA,NA,1,102.55,NA,1,1,1100.3988604,1226.06210988,2892.32,NA
"9067",33,3301,1,330187866,2,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,0.9995439205,2036.61,NA,1,1,1749.22933588,1948.98766929,11261.1,NA
"9068",33,3301,1,330187866,2,1,13,2,1300301,7,9999999.99,NA,NA,NA,NA,0.9995439205,179.51,NA,1,1,1749.22933588,1948.98766929,11261.1,NA
"9069",33,3301,1,330238675,5,1,8,25,802405,7,9999999.99,NA,NA,NA,NA,1.016845103,7236.21,NA,1,4,1814.02565981,2021.18359796,11497.02,7502
"9070",33,3301,1,330238675,5,1,10,4,1000501,9,490,9,12,NA,NA,1.0199375867,499.77,NA,0,1,1814.02565981,2021.18359796,11497.02,NA
"9071",33,3301,1,330238675,11,1,8,25,899901,7,20,NA,NA,NA,NA,1.0007890556,20.02,NA,0,4,1814.02565981,2021.18359796,5035.51,7502
"9072",33,3301,1,330141463,6,1,8,25,899901,7,9999999.99,NA,NA,NA,NA,0.9980304959,1500.01,NA,1,4,1773.4774699,1976.00488952,5043.82,7502
"9073",33,3302,1,330166958,9,1,8,22,802301,7,9999999.99,NA,NA,NA,NA,1.0043767308,122.04,NA,1,4,1970.73322526,2195.78683979,18956.62,14301
"9074",33,3301,1,330173496,2,1,6,0,600101,7,9999999.99,NA,NA,NA,NA,1,70.35,NA,1,12,1870.81026717,2084.45288878,3557.37,NA
"9075",33,3301,1,330173496,2,1,6,1,600201,7,9999999.99,NA,NA,NA,NA,1,82,NA,1,12,1870.81026717,2084.45288878,3557.37,NA
"9076",33,3301,1,330173496,2,1,6,4,600501,7,9999999.99,NA,NA,NA,NA,1,60,NA,1,12,1870.81026717,2084.45288878,3557.37,NA
"9077",33,3301,1,330173496,2,1,6,5,600601,7,9999999.99,NA,NA,NA,NA,1,90,NA,1,12,1870.81026717,2084.45288878,3557.37,NA
"9078",33,3301,1,330173496,2,1,10,0,1000101,7,9999999.99,2,12,NA,NA,0.9971910112,197.39,NA,1,1,1870.81026717,2084.45288878,3557.37,NA
"9079",33,3301,1,330173496,2,1,10,5,1000601,7,9999999.99,12,6,NA,NA,1.0076021823,218.58,NA,1,1,1870.81026717,2084.45288878,3557.37,NA
"9080",33,3301,1,330173496,3,1,6,0,600101,7,9999999.99,NA,NA,NA,NA,1,60.06,NA,1,12,1870.81026717,2084.45288878,3460.04,NA
"9081",33,3301,1,330173496,3,1,6,1,600201,7,9999999.99,NA,NA,NA,NA,1,80.44,NA,1,12,1870.81026717,2084.45288878,3460.04,NA
"9082",33,3301,1,330173496,3,1,6,3,600401,7,9999999.99,NA,NA,NA,NA,1,51.35,NA,1,12,1870.81026717,2084.45288878,3460.04,NA
"9083",33,3301,1,330173496,3,1,6,11,601201,7,9999999.99,NA,NA,NA,NA,1,64.31,NA,1,12,1870.81026717,2084.45288878,3460.04,NA
"9084",33,3301,1,330173496,3,1,10,0,1000101,7,9999999.99,2,12,NA,NA,0.9971910112,297.87,NA,1,1,1870.81026717,2084.45288878,3460.04,NA
"9085",33,3301,1,330173496,3,1,10,5,1000601,7,9999999.99,1,6,NA,NA,1,36.13,NA,1,1,1870.81026717,2084.45288878,3460.04,NA
"9086",33,3301,1,330173496,4,1,10,0,1000101,7,9999999.99,2,12,NA,NA,0.9971910112,200.96,NA,1,1,1870.81026717,2084.45288878,7972.72,NA
"9087",33,3301,1,330211286,12,1,9,16,903101,7,9999999.99,NA,NA,NA,NA,1.0025655122,42.76,NA,1,1,1971.1032967,2196.19917262,7099.33,7502
"9088",33,3301,1,330131853,11,1,11,24,1199901,7,9999999.99,NA,NA,NA,NA,1.0105301712,5606.77,NA,1,1,1747.15621408,1946.67780132,26411.92,7502
"9089",33,3307,1,330066135,9,1,6,0,600101,7,70,NA,NA,NA,NA,0.9685197118,67.8,NA,0,12,1658.25830189,1847.62793339,5105.97,NA
"9090",33,3307,1,330066135,9,1,6,1,600201,7,90,NA,NA,NA,NA,1.0525751957,94.73,NA,0,12,1658.25830189,1847.62793339,5105.97,NA
"9091",33,3307,1,330066135,9,1,6,3,600401,7,70,NA,NA,NA,NA,0.9951706728,69.66,NA,0,12,1658.25830189,1847.62793339,5105.97,NA
"9092",33,3307,1,330066135,9,1,10,5,1000601,7,78,8,10,NA,NA,1.0078726069,78.61,NA,0,1,1658.25830189,1847.62793339,5105.97,NA
"9093",33,3307,1,330160713,4,1,6,0,600101,7,194,NA,NA,NA,NA,0.966507316,187.5,NA,0,12,1707.6417154,1902.65082949,2390.71,NA
"9094",33,3307,1,330160713,7,1,6,0,600101,7,9999999.99,NA,NA,NA,NA,0.9411073679,425.56,NA,1,12,1707.6417154,1902.65082949,7233.51,NA
"9095",33,3307,1,330160713,7,1,6,1,600201,7,9999999.99,NA,NA,NA,NA,1.0402432617,52.87,NA,1,12,1707.6417154,1902.65082949,7233.51,NA
"9096",33,3307,1,330160713,7,1,10,0,1000101,7,9999999.99,11,6,NA,NA,1.003959276,297.87,NA,1,1,1707.6417154,1902.65082949,7233.51,NA
"9097",33,3307,1,330160713,10,1,11,19,1102001,10,240,NA,NA,NA,NA,1.0331710835,247.96,NA,0,1,1707.6417154,1902.65082949,5848.36,7604
"9098",33,3307,1,330160713,10,1,13,1,1300201,7,9999999.99,NA,NA,NA,NA,1.0032042479,40.31,NA,1,1,1707.6417154,1902.65082949,5848.36,NA
"9099",33,3303,1,330234730,9,1,8,25,899901,11,9999999.99,NA,NA,NA,NA,1.0001550227,500.34,NA,1,4,1516.24345848,1689.39529174,11185.51,7501
"9100",33,3302,1,330142492,6,1,19,1,1900201,7,9999999.99,10,6,NA,3,1.0119430798,308.34,NA,1,1,2268.26166779,2527.29240847,6478.26,NA
"9101",33,3307,1,330140407,4,1,9,6,900701,7,450,NA,NA,NA,NA,1.1725463809,527.65,NA,0,1,1874.50411523,2088.56856655,3917.45,7501
"9102",33,3307,1,330274671,1,1,10,4,1000501,7,360,7,12,NA,NA,1.1428848956,411.44,NA,0,1,2009.62532374,2239.12033461,4225.64,NA
"9103",33,3307,1,330274671,7,1,6,0,600101,7,75,NA,NA,NA,NA,0.9614588137,72.11,NA,0,12,2009.62532374,2239.12033461,1507.75,NA
"9104",33,3307,1,330274671,7,1,6,1,600201,7,98,NA,NA,NA,NA,1.0574295542,103.63,NA,0,12,2009.62532374,2239.12033461,1507.75,NA
"9105",33,3307,1,330274671,7,1,10,4,1000501,7,100,7,12,NA,NA,1.0191424859,101.91,NA,0,1,2009.62532374,2239.12033461,1507.75,NA
"9106",33,3307,1,330274671,7,1,10,5,1000601,7,120,2,1,NA,NA,1.0323467424,123.88,NA,0,1,2009.62532374,2239.12033461,1507.75,NA
"9107",33,3307,1,330224508,5,1,6,11,601201,7,180,NA,NA,NA,NA,1.000222877,180.04,NA,0,12,2370.38193146,2641.07459278,3119.83,NA
"9108",33,3307,1,330129653,5,1,6,7,600801,7,120,NA,NA,NA,NA,1.0002698048,120.03,NA,0,12,1609.12406577,1792.88267022,376.53,NA
"9109",33,3307,1,330262482,9,1,6,0,600101,11,150,NA,NA,NA,NA,0.9552335595,143.29,NA,0,12,1874.01336478,2088.02177343,1754.77,NA
"9110",33,3307,1,330262482,9,1,6,1,600201,11,90,NA,NA,NA,NA,1.011854856,91.07,NA,0,12,1874.01336478,2088.02177343,1754.77,NA
"9111",33,3307,1,330262482,10,1,6,0,600101,11,130,NA,NA,NA,NA,0.9552335595,124.18,NA,0,12,1874.01336478,2088.02177343,990.92,NA
"9112",33,3307,1,330262482,10,1,6,1,600201,11,90,NA,NA,NA,NA,1.011854856,91.07,NA,0,12,1874.01336478,2088.02177343,990.92,NA
"9113",33,3307,1,330262482,12,1,6,0,600101,11,300,NA,NA,NA,NA,0.9613144759,288.39,NA,0,12,1874.01336478,2088.02177343,4569.78,NA
"9114",33,3307,1,330262482,12,1,6,1,600201,11,100,NA,NA,NA,NA,1,100,NA,0,12,1874.01336478,2088.02177343,4569.78,NA
"9115",33,3307,1,330262482,13,1,6,1,600201,11,40,NA,NA,NA,NA,1,40,NA,0,12,1874.01336478,2088.02177343,6029.55,NA
"9116",33,3308,1,330257484,4,1,6,1,600201,11,9999999.99,NA,NA,NA,NA,1,157.89,NA,1,12,1983.49066033,2210.00114727,4838.28,NA
"9117",33,3308,1,330257484,10,1,6,0,600101,11,9999999.99,NA,NA,NA,NA,0.8447409303,334.95,NA,1,12,1983.49066033,2210.00114727,4227.12,NA
"9118",33,3308,1,330257484,10,1,6,1,600201,11,9999999.99,NA,NA,NA,NA,1,34.81,NA,1,12,1983.49066033,2210.00114727,4227.12,NA
"9119",33,3308,1,330092778,8,1,6,0,600101,11,80,NA,NA,NA,NA,1.0082607211,80.66,NA,0,12,1918.32591517,2137.39472445,2174.27,NA
"9120",33,3308,1,330092778,8,1,6,1,600201,11,30,NA,NA,NA,NA,1,30,NA,0,12,1918.32591517,2137.39472445,2174.27,NA
