"","UF","ESTRATO_POF","TIPO_SITUACAO_REG","COD_UPA","NUM_DOM","NUM_UC","COD_INFORMANTE","QUADRO","SEQ","V9001","V9013","PESO","PESO_FINAL","RENDA_TOTAL"
"19272",27,2709,2,270017240,15,1,2,42,1,4200201,1,81.41385312,113.39403359,2619.38
"19273",27,2709,2,270017240,15,1,2,42,3,4200401,1,81.41385312,113.39403359,2619.38
"19274",27,2709,2,270017240,16,1,1,42,1,4200201,1,81.41385312,113.39403359,2515
"19275",27,2709,2,270017240,16,1,1,42,3,4200401,1,81.41385312,113.39403359,2515
"19276",27,2709,2,270017240,16,1,2,42,1,4200201,1,81.41385312,113.39403359,2515
"19277",27,2709,2,270017240,16,1,2,42,3,4200401,1,81.41385312,113.39403359,2515
"19278",27,2709,2,270018200,1,1,1,29,25,2902601,1,108.11085743,150.57788976,1800.86
"19279",27,2709,2,270018200,1,1,1,42,8,4200901,1,108.11085743,150.57788976,1800.86
"19280",27,2709,2,270018200,3,1,1,29,37,2905201,1,108.11085743,150.57788976,1742.29
"19281",27,2709,2,270018200,3,1,1,42,16,4201701,1,108.11085743,150.57788976,1742.29
"19282",27,2709,2,270018200,3,1,1,42,17,4201801,1,108.11085743,150.57788976,1742.29
"19283",27,2709,2,270018200,3,1,2,42,16,4201701,1,108.11085743,150.57788976,1742.29
"19284",27,2709,2,270018200,3,1,2,42,19,4202001,1,108.11085743,150.57788976,1742.29
"19285",27,2709,2,270018200,6,1,2,29,0,2900101,1,108.11085743,150.57788976,2596.99
"19286",27,2709,2,270018200,13,1,2,29,0,2900101,1,108.11085743,150.57788976,4063.26
"19287",27,2709,2,270018200,13,1,2,29,37,2904901,1,108.11085743,150.57788976,4063.26
"19288",27,2709,2,270018200,15,1,1,29,37,2905201,1,108.11085743,150.57788976,3083.82
"19289",27,2709,2,270018200,15,1,1,42,33,4204901,1,108.11085743,150.57788976,3083.82
"19290",27,2709,2,270018200,15,1,2,29,0,2900101,1,108.11085743,150.57788976,3083.82
"19291",27,2709,2,270018200,17,1,1,29,0,2900101,2,108.11085743,150.57788976,1168.14
"19292",27,2709,2,270018200,17,1,2,42,16,4201701,1,108.11085743,150.57788976,1168.14
"19293",27,2709,2,270018200,18,1,1,42,9,4201001,1,108.11085743,150.57788976,1261.62
"19294",27,2704,1,270003205,1,1,1,29,0,2900101,1,477.42011472,664.95553832,3413.34
"19295",27,2704,1,270003205,1,1,1,29,19,2902001,1,477.42011472,664.95553832,3413.34
"19296",27,2704,1,270003205,1,1,1,42,1,4200201,1,477.42011472,664.95553832,3413.34
"19297",27,2704,1,270003205,1,1,1,42,3,4200401,1,477.42011472,664.95553832,3413.34
"19298",27,2704,1,270003205,1,1,1,42,30,4203101,1,477.42011472,664.95553832,3413.34
"19299",27,2704,1,270003205,1,1,2,42,1,4200201,1,477.42011472,664.95553832,3413.34
"19300",27,2704,1,270003205,1,1,2,42,3,4200401,1,477.42011472,664.95553832,3413.34
"19301",27,2704,1,270003205,7,1,2,42,1,4200201,1,477.42011472,664.95553832,3461.17
"19302",27,2704,1,270003205,7,1,2,42,3,4200401,1,477.42011472,664.95553832,3461.17
"19303",27,2704,1,270003205,8,1,1,42,1,4200201,1,477.42011472,664.95553832,3399.59
"19304",27,2704,1,270003205,8,1,1,42,3,4200401,1,477.42011472,664.95553832,3399.59
"19305",27,2704,1,270003205,8,1,2,42,1,4200201,1,477.42011472,664.95553832,3399.59
"19306",27,2704,1,270003205,8,1,2,42,3,4200401,1,477.42011472,664.95553832,3399.59
"19307",27,2704,1,270003205,8,1,3,42,1,4200201,1,477.42011472,664.95553832,3399.59
"19308",27,2704,1,270003205,8,1,3,42,3,4200401,1,477.42011472,664.95553832,3399.59
"19309",27,2704,1,270003205,8,1,3,42,9,4201001,1,477.42011472,664.95553832,3399.59
"19310",27,2704,1,270003205,8,1,3,42,27,4202801,1,477.42011472,664.95553832,3399.59
"19311",27,2704,1,270003205,12,1,2,42,1,4200201,1,477.42011472,664.95553832,3464.79
"19312",27,2704,1,270003205,12,1,2,42,3,4200401,1,477.42011472,664.95553832,3464.79
"19313",27,2704,1,270003205,12,1,3,42,1,4200201,1,477.42011472,664.95553832,3464.79
